PackageKit, 1.2.5, +git2-1.5.3, jolla, aarch64;
PackageKit-Qt5, 1.0.2, +git1-1.5.3, jolla, aarch64;
PackageKit-glib, 1.2.5, +git2-1.5.3, jolla, aarch64;
PackageKit-zypp, 1.2.5, +git2-1.5.3, jolla, aarch64;
SDL2, 2.24.0, +git1-1.8.3, jolla, aarch64;
SDL2_gfx, 1.0.4, +git2-1.5.4, jolla, aarch64;
SDL2_image, 2.6.2, +git1-1.7.2, jolla, aarch64;
SDL2_mixer, 2.6.2, +git1-1.7.2, jolla, aarch64;
SDL2_net, 2.2.0, +git1-1.7.2, jolla, aarch64;
SDL2_ttf, 2.20.1, +git1-1.7.2, jolla, aarch64;
all-translations-pack, 0.8.1, 1.4.6, jolla, noarch;
alsa-lib, 1.2.8, +git1-1.6.1, jolla, aarch64;
amber-mpris, 1.1.10.1, 1.6.2, jolla, aarch64;
amber-qml-plugin-mpris, 1.1.10.1, 1.6.2, jolla, aarch64;
ambienced, 0.29.31, 1.8.1, jolla, aarch64;
archivemount, 0.9.1, +git2-1.7.1, jolla, aarch64;
audiosystem-passthrough, 1.3.0, 1.5.1, jolla, aarch64;
audiosystem-passthrough-dummy-af, 1.3.0, 1.5.1, jolla, aarch64;
audit-libs, 2.8.4, +git8-1.9.1, jolla, aarch64;
basesystem, 11, +git1-1.5.3, jolla, noarch;
bluebinder, 1.0.18, 1.4.1, jolla, aarch64;
bluez5, 5.65, +git1-1.9.1, jolla, aarch64;
bluez5-libs, 5.65, +git1-1.9.1, jolla, aarch64;
bluez5-obexd, 5.65, +git1-1.9.1, jolla, aarch64;
boost-system, 1.66.0, +git2-1.6.4, jolla, aarch64;
boost-thread, 1.66.0, +git2-1.6.4, jolla, aarch64;
busybox, 1.34.1, +git2-1.8.1, jolla, aarch64;
busybox-symlinks-bash, 1.34.1, +git2-1.8.1, jolla, aarch64;
busybox-symlinks-coreutils, 1.34.1, +git2-1.8.1, jolla, aarch64;
busybox-symlinks-dhcp, 1.34.1, +git2-1.8.1, jolla, aarch64;
busybox-symlinks-diffutils, 1.34.1, +git2-1.8.1, jolla, aarch64;
busybox-symlinks-dosfstools, 1.34.1, +git2-1.8.1, jolla, aarch64;
busybox-symlinks-findutils, 1.34.1, +git2-1.8.1, jolla, aarch64;
busybox-symlinks-grep, 1.34.1, +git2-1.8.1, jolla, aarch64;
busybox-symlinks-gzip, 1.34.1, +git2-1.8.1, jolla, aarch64;
busybox-symlinks-procps, 1.34.1, +git2-1.8.1, jolla, aarch64;
busybox-symlinks-psmisc, 1.34.1, +git2-1.8.1, jolla, aarch64;
busybox-symlinks-sed, 1.34.1, +git2-1.8.1, jolla, aarch64;
busybox-symlinks-tar, 1.34.1, +git2-1.8.1, jolla, aarch64;
busybox-symlinks-vi, 1.34.1, +git2-1.8.1, jolla, aarch64;
busybox-symlinks-which, 1.34.1, +git2-1.8.1, jolla, aarch64;
buteo-mtp-qt5, 0.9.7, 1.9.1, jolla, aarch64;
buteo-sync-plugin-caldav, 0.2.11, 1.11.1, jolla, aarch64;
buteo-sync-plugin-carddav, 0.1.8, 1.10.1, jolla, aarch64;
buteo-sync-plugin-nextcloud-backup, 1.0.4, 1.9.1, jolla, aarch64;
buteo-sync-plugin-nextcloud-images, 1.0.4, 1.9.1, jolla, aarch64;
buteo-sync-plugin-nextcloud-posts, 1.0.4, 1.9.1, jolla, aarch64;
buteo-sync-plugin-webcal, 0.1.11, 1.9.1, jolla, aarch64;
buteo-sync-plugins-social, 0.4.18, 1.15.1, jolla, aarch64;
buteo-sync-plugins-social-dropbox, 0.4.18, 1.15.1, jolla, aarch64;
buteo-sync-plugins-social-google, 0.4.18, 1.15.1, jolla, aarch64;
buteo-sync-plugins-social-onedrive, 0.4.18, 1.15.1, jolla, aarch64;
buteo-sync-plugins-social-twitter, 0.4.18, 1.15.1, jolla, aarch64;
buteo-sync-plugins-social-vk, 0.4.18, 1.15.1, jolla, aarch64;
buteo-syncfw-qt5, 0.11.1, 1.20.7, jolla, aarch64;
buteo-syncfw-qt5-msyncd, 0.11.1, 1.20.7, jolla, aarch64;
bzip2, 1.0.8, +git2-1.6.4, jolla, aarch64;
bzip2-libs, 1.0.8, +git2-1.6.4, jolla, aarch64;
ca-certificates, 2021.2.50, 1.5.3, jolla, noarch;
cairo, 1.17.4, +git1-1.6.2, jolla, aarch64;
commhistory-daemon, 0.8.44, 1.11.1, jolla, aarch64;
connectionagent-qt5, 0.11.42, 1.6.1, jolla, aarch64;
connectionagent-qt5-declarative, 0.11.42, 1.6.1, jolla, aarch64;
connman, 1.32, +git194-1.19.2, jolla, aarch64;
connman-configs-sailfish, 0.11.10, 1.8.1, jolla, noarch;
connman-network-monitor, 0.0.0, +git2-1.6.1, jolla, aarch64;
connman-plugin-vpn-l2tp, 1.32, +git194-1.19.2, jolla, aarch64;
connman-plugin-vpn-openconnect, 1.32, +git194-1.19.2, jolla, aarch64;
connman-plugin-vpn-openvpn, 1.32, +git194-1.19.2, jolla, aarch64;
connman-plugin-vpn-pptp, 1.32, +git194-1.19.2, jolla, aarch64;
connman-plugin-vpn-vpnc, 1.32, +git194-1.19.2, jolla, aarch64;
connman-qt5, 1.3.0, 1.10.1, jolla, aarch64;
connman-qt5-declarative, 1.3.0, 1.10.1, jolla, aarch64;
connman-vpn-scripts, 1.32, +git194-1.19.2, jolla, aarch64;
contactsd, 1.4.13, 1.17.1, jolla, aarch64;
crda, 4.14, +git5-1.6.5, jolla, aarch64;
cryptsetup-libs, 2.4.3, +git1-1.6.1, jolla, aarch64;
csd, 0.16.39, 1.9.1, jolla, aarch64;
curl, 7.85.0, +git1-1.9.1, jolla, aarch64;
db4, 4.8.30, 1.6.4, jolla, aarch64;
db4-utils, 4.8.30, 1.6.4, jolla, aarch64;
dbus, 1.14.4, +git1-1.7.1, jolla, aarch64;
dbus-glib, 0.100.2, 1.5.1, jolla, aarch64;
dbus-libs, 1.14.4, +git1-1.7.1, jolla, aarch64;
dconf, 0.40.0, +git4-1.9.1, jolla, aarch64;
declarative-transferengine-qt5, 1.1.4, 1.10.1, jolla, aarch64;
deltarpm, 3.6.3, +git1-1.6.8, jolla, aarch64;
desktop-file-utils, 0.26, +git4-1.8.1, jolla, aarch64;
device-mapper, 2.02.177, +git6-1.8.1, jolla, aarch64;
device-mapper-event, 2.02.177, +git6-1.8.1, jolla, aarch64;
device-mapper-event-libs, 2.02.177, +git6-1.8.1, jolla, aarch64;
device-mapper-libs, 2.02.177, +git6-1.8.1, jolla, aarch64;
